#id, name, jumpLimit,timeLimit, hardTimeLimit, percentBodyWeight, fall, startIn
24,RJ(10j),10,0,0,0,0,0
32,RF(10ss),0,10,0,0,0,1
39,RF(10sh),0,10,1,0,0,1
1,Free,1,0,0,0,0,1
2,SJ,1,0,0,0,0,1
3,SJl100,1,0,0,100,0,1
4,CMJ,1,0,0,0,0,1
5,CMJl,1,0,0,100,0,1
6,slCMJleft,1,0,0,0,0,1
7,slCMJright,1,0,0,0,0,1
8,ABK,1,0,0,0,0,1
10,DJa,1,0,0,0,0,0
