ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z, GYRO_Y,GYRO_X,GYRO_Z,COUNT
-83.932854,0.000000,863.309326,222.222229,-353.333344,-420.000000,-1.260063,-6.020301,35.421772,59
-23.980814,119.904068,935.251770,220.000000,-357.777771,-415.000000,-8.540427,-7.000350,14.910746,60
0.000000,83.932854,911.270935,220.000000,-357.777771,-417.500000,-3.220161,-3.570179,12.530626,61
-23.980814,-23.980814,911.270935,217.777771,-360.000000,-415.000000,-1.540077,-2.800140,10.710536,62
0.000000,-11.990407,911.270935,220.000000,-351.111115,-415.000000,-2.590130,-2.730137,1.400070,63
-23.980814,0.000000,911.270935,220.000000,-351.111115,-415.000000,-0.700035,-1.540077,-0.700035,64
-59.952034,23.980814,875.299744,222.222229,-348.888885,-420.000000,-0.070004,-0.560028,-1.890095,65
-71.942444,23.980814,887.290100,217.777771,-362.222229,-410.000000,0.210010,-1.190060,-1.960098,66
-35.971222,23.980814,875.299744,217.777771,-353.333344,-415.000000,0.420021,-0.350018,-2.170109,67
-47.961628,23.980814,911.270935,217.777771,-357.777771,-410.000000,0.350018,-0.700035,-1.820091,68
0.000000,11.990407,875.299744,220.000000,-355.555542,-412.500000,0.140007,-1.190060,-2.310116,69
-47.961628,0.000000,887.290100,217.777771,-360.000000,-410.000000,2.730137,0.000000,-2.660133,70
-47.961628,0.000000,911.270935,217.777771,-351.111115,-415.000000,1.470073,-0.700035,-2.660133,71
-47.961628,23.980814,935.251770,220.000000,-355.555542,-412.500000,0.700035,-0.980049,-2.730137,72
-35.971222,23.980814,947.242188,220.000000,-357.777771,-412.500000,-0.140007,-1.610080,-2.310116,73
119.904068,143.884888,815.347656,220.000000,-360.000000,-415.000000,1.470073,-1.540077,-3.150157,74
-11.990407,35.971222,875.299744,222.222229,-353.333344,-415.000000,4.690235,0.140007,-2.730137,75
-23.980814,0.000000,863.309326,220.000000,-360.000000,-412.500000,1.190060,-0.910046,-2.590130,76
-59.952034,23.980814,911.270935,222.222229,-351.111115,-420.000000,1.890095,-0.280014,-2.590130,77
23.980814,23.980814,839.328491,217.777771,-357.777771,-410.000000,0.350018,-1.120056,-1.960098,78
0.000000,11.990407,863.309326,222.222229,-348.888885,-415.000000,6.580329,1.540077,-2.800140,79
-95.923256,0.000000,911.270935,222.222229,-355.555542,-410.000000,8.120406,1.750087,-3.360168,80
-95.923256,11.990407,911.270935,220.000000,-355.555542,-412.500000,7.560378,1.050053,-3.780189,81
-71.942444,0.000000,887.290100,220.000000,-357.777771,-410.000000,7.070354,1.330067,-3.710186,82
-23.980814,0.000000,947.242188,224.444443,-355.555542,-412.500000,6.230311,0.910046,-4.060203,83
-23.980814,23.980814,863.309326,222.222229,-357.777771,-412.500000,5.180259,0.840042,-3.920196,84
-47.961628,11.990407,863.309326,226.666672,-346.666656,-415.000000,3.920196,0.210010,-4.060203,85
-23.980814,0.000000,911.270935,220.000000,-355.555542,-412.500000,3.010150,-0.210010,-3.500175,86
-47.961628,-11.990407,923.261353,224.444443,-348.888885,-415.000000,1.960098,-0.560028,-3.500175,87
-95.923256,-23.980814,935.251770,222.222229,-357.777771,-407.500000,0.700035,-0.980049,-2.240112,88
-71.942444,11.990407,899.280518,224.444443,-355.555542,-410.000000,-0.350018,-1.120056,-1.960098,89
-23.980814,0.000000,863.309326,222.222229,-355.555542,-415.000000,-0.630032,-0.910046,-1.890095,90
-35.971222,11.990407,899.280518,222.222229,-353.333344,-415.000000,-1.400070,-1.330067,-1.120056,91
-95.923256,0.000000,887.290100,220.000000,-357.777771,-412.500000,-1.610080,-0.840042,-0.770038,92
-71.942444,11.990407,911.270935,226.666672,-348.888885,-415.000000,-2.100105,-0.910046,-0.980049,93
0.000000,0.000000,935.251770,224.444443,-360.000000,-407.500000,-1.890095,-0.700035,-1.190060,94
-35.971222,0.000000,911.270935,224.444443,-351.111115,-415.000000,-2.100105,-0.980049,-0.910046,95
-95.923256,23.980814,911.270935,220.000000,-362.222229,-407.500000,-4.830242,-1.470073,1.820091,96
-143.884888,0.000000,911.270935,222.222229,-357.777771,-415.000000,-4.130207,-1.260063,2.240112,97
-23.980814,0.000000,911.270935,217.777771,-351.111115,-415.000000,-3.780189,-0.980049,0.140007,98
-23.980814,11.990407,899.280518,226.666672,-355.555542,-412.500000,-3.290164,-0.560028,0.770038,99
0.000000,23.980814,911.270935,220.000000,-357.777771,-415.000000,-2.590130,-0.910046,-0.350018,100
0.000000,11.990407,911.270935,224.444443,-353.333344,-412.500000,-0.980049,-0.980049,-0.980049,101
23.980814,0.000000,911.270935,222.222229,-357.777771,-410.000000,-2.030102,-0.770038,-1.190060,102
-35.971222,35.971222,911.270935,220.000000,-353.333344,-415.000000,-1.330067,0.280014,-0.770038,103
-47.961628,0.000000,911.270935,220.000000,-357.777771,-410.000000,-1.750087,-0.280014,-1.050053,104
-35.971222,-11.990407,887.290100,224.444443,-348.888885,-415.000000,-1.610080,0.140007,-0.700035,105
-47.961628,23.980814,911.270935,222.222229,-355.555542,-412.500000,-1.400070,-0.210010,-0.070004,106
-23.980814,23.980814,911.270935,222.222229,-348.888885,-415.000000,-0.840042,-0.840042,-0.840042,107
0.000000,23.980814,887.290100,220.000000,-357.777771,-415.000000,-1.540077,-0.280014,-0.700035,108
-47.961628,11.990407,899.280518,224.444443,-353.333344,-415.000000,-1.820091,-1.540077,0.490025,109
-71.942444,0.000000,911.270935,222.222229,-357.777771,-410.000000,-2.030102,-2.170109,0.560028,110
-59.952034,-11.990407,887.290100,222.222229,-357.777771,-415.000000,-1.890095,-2.590130,1.190060,111
-71.942444,0.000000,935.251770,217.777771,-360.000000,-412.500000,-2.660133,-3.360168,1.610080,112
-71.942444,11.990407,923.261353,222.222229,-353.333344,-417.500000,-4.130207,-4.270214,1.400070,113
23.980814,23.980814,911.270935,222.222229,-357.777771,-410.000000,-3.220161,-3.710186,0.560028,114
-23.980814,11.990407,899.280518,222.222229,-355.555542,-410.000000,-0.910046,-3.920196,1.190060,115
-47.961628,-23.980814,911.270935,224.444443,-362.222229,-412.500000,-0.560028,-5.880294,0.490025,116
-35.971222,11.990407,887.290100,224.444443,-355.555542,-415.000000,-1.820091,-5.320266,-1.330067,117
-119.904068,0.000000,839.328491,213.333328,-362.222229,-412.500000,-1.820091,-4.970249,-1.050053,118
-119.904068,-71.942444,875.299744,222.222229,-355.555542,-417.500000,-1.190060,-8.470424,-2.870144,119
-119.904068,-71.942444,863.309326,222.222229,-360.000000,-407.500000,-1.050053,-12.250612,-11.270564,120
-215.827332,119.904068,923.261353,231.111115,-353.333344,-415.000000,8.890445,-10.780540,-10.850543,121
-263.788971,71.942444,983.213379,226.666672,-357.777771,-405.000000,7.210361,-11.200561,-9.100455,122
-323.740997,-71.942444,971.222961,222.222229,-355.555542,-410.000000,-2.660133,-10.990550,-13.370668,123
-239.808136,23.980814,959.232544,226.666672,-360.000000,-407.500000,2.310116,-18.830942,-17.150858,124
-299.760193,35.971222,935.251770,226.666672,-353.333344,-417.500000,10.780540,-25.691284,-19.810991,125
-407.673828,-47.961628,1007.194214,222.222229,-362.222229,-407.500000,12.810640,-39.481976,-15.680784,126
-335.731415,179.856110,1318.944824,224.444443,-357.777771,-405.000000,2.450123,-46.832340,-13.300665,127
167.865707,215.827332,1702.637817,224.444443,-366.666656,-407.500000,-10.290515,-7.350368,-9.450473,128
71.942444,23.980814,1870.503540,226.666672,-357.777771,-412.500000,-29.751488,14.490725,-19.390970,129
-287.769775,-71.942444,1774.580200,222.222229,-362.222229,-407.500000,-67.623383,34.231712,-54.602730,130
-251.798553,179.856110,1498.800903,220.000000,-353.333344,-415.000000,-84.424225,45.852295,-67.553375,131
-23.980814,191.846512,983.213379,222.222229,-353.333344,-415.000000,-73.223663,51.452572,-47.812389,132
-107.913666,191.846512,1127.098267,222.222229,-348.888885,-422.500000,-50.892544,49.772488,-12.600630,133
-191.846512,167.865707,1199.040771,217.777771,-360.000000,-420.000000,-25.971298,63.983200,-8.960448,134
-215.827332,191.846512,1223.021484,220.000000,-344.444458,-427.500000,-5.460273,61.883095,-8.470424,135
-359.712219,47.961628,1199.040771,213.333328,-348.888885,-422.500000,1.120056,58.942947,-10.220511,136
-407.673828,119.904068,1175.059937,222.222229,-344.444458,-430.000000,8.330417,57.052853,-15.820791,137
-431.654663,71.942444,1199.040771,220.000000,-344.444458,-422.500000,11.900595,59.852993,-24.991249,138
-491.606689,119.904068,1199.040771,220.000000,-333.333344,-430.000000,12.180609,53.272663,-38.151909,139
-575.539551,167.865707,1342.925659,222.222229,-337.777771,-432.500000,7.770389,60.273014,-54.112705,140
-587.529968,143.884888,1294.963989,228.888885,-333.333344,-432.500000,10.290515,68.813438,-70.143509,141
-647.481995,0.000000,1366.906372,226.666672,-331.111115,-432.500000,23.801189,81.274063,-86.594330,142
-695.443604,-11.990407,1378.896851,231.111115,-320.000000,-437.500000,48.722435,97.024849,-102.975151,143
-719.424438,23.980814,1510.791260,235.555557,-322.222229,-440.000000,79.523979,109.695488,-119.845993,144
-707.434021,-11.990407,1558.752930,244.444443,-311.111115,-445.000000,107.035355,122.996155,-139.796997,145
-695.443604,-23.980814,1702.637817,246.666672,-308.888885,-437.500000,127.896393,143.367172,-161.498077,146
-575.539551,-11.990407,1798.561035,257.777771,-297.777771,-440.000000,144.557236,161.078049,-179.698990,147
-143.884888,191.846512,2014.388428,262.222229,-291.111115,-440.000000,151.977600,170.038498,-186.909348,148
23.980814,299.760193,2026.378784,271.111115,-282.222229,-440.000000,168.218414,188.029404,-192.509628,149
119.904068,335.731415,2038.369263,284.444458,-266.666656,-435.000000,182.849152,207.140366,-187.889389,150
11.990407,251.798553,2086.330811,300.000000,-248.888885,-440.000000,190.479523,227.861389,-184.319214,151
0.000000,215.827332,2062.350098,304.444458,-242.222229,-440.000000,188.449417,244.312225,-185.159256,152
-623.501160,431.654663,1534.772095,315.555542,-224.444443,-442.500000,189.359467,265.033264,-179.418976,153
-887.290100,-1007.194214,1462.829712,320.000000,-222.222229,-435.000000,265.943298,370.668549,-99.824989,154
95.923256,-107.913666,1630.695313,335.555542,-202.222229,-435.000000,305.285278,363.948212,-91.214561,155
599.520386,383.693024,2230.215820,337.777771,-191.111115,-425.000000,289.884491,285.124268,-120.476028,156
563.549133,227.817734,2290.167725,353.333344,-177.777771,-422.500000,224.291214,241.092056,-139.376968,157
191.846512,143.884888,2254.196533,364.444458,-164.444443,-420.000000,140.917053,246.202316,-169.338470,158
239.808136,179.856110,2110.311768,373.333344,-142.222229,-420.000000,79.523979,278.753937,-173.538681,159
311.750580,167.865707,1774.580200,368.888885,-133.333328,-420.000000,60.483025,289.954498,-152.887650,160
335.731415,131.894485,1726.618652,375.555542,-111.111115,-420.000000,45.642284,299.404968,-139.726990,161
407.673828,0.000000,1630.695313,371.111115,-111.111115,-415.000000,47.672382,301.785095,-117.605881,162
395.683441,-23.980814,1654.676147,382.222229,-91.111115,-417.500000,55.512775,302.695129,-105.005249,163
383.693024,0.000000,1558.752930,377.777771,-84.444443,-407.500000,58.312916,303.255157,-98.214912,164
419.664246,-11.990407,1510.791260,380.000000,-75.555557,-412.500000,55.372768,305.775299,-91.914597,165
431.654663,0.000000,1318.944824,386.666656,-53.333332,-410.000000,56.002800,310.465515,-85.264267,166
359.712219,-59.952034,1247.002319,391.111115,-35.555557,-405.000000,58.242912,316.765839,-81.484077,167
263.788971,-191.846512,1175.059937,388.888885,-24.444445,-400.000000,57.402870,322.156097,-80.084007,168
263.788971,-203.836914,1091.127075,391.111115,-11.111111,-397.500000,55.302765,324.746246,-77.143860,169
263.788971,-191.846512,1007.194214,388.888885,-4.444445,-390.000000,56.002800,327.056366,-73.573677,170
359.712219,-191.846512,959.232544,393.333344,15.555555,-390.000000,60.833042,328.736450,-66.713333,171
407.673828,-191.846512,863.309326,391.111115,24.444445,-382.500000,67.693382,330.906555,-59.642982,172
