ACC_X,ACC_Y,ACC_Z,MAG_X,MAG_Y,MAG_Z,GYRO_Y,GYRO_X,GYRO_Z,COUNT
-23.980814,11.990407,911.270935,213.333328,-353.333344,-390.000000,-1.470073,-0.280014,-0.490025,59
-95.923256,0.000000,863.309326,213.333328,-355.555542,-390.000000,-1.190060,0.140007,-0.140007,60
-59.952034,23.980814,875.299744,213.333328,-355.555542,-392.500000,-1.960098,0.560028,-0.280014,61
-119.904068,-23.980814,887.290100,208.888885,-362.222229,-387.500000,-7.210361,2.520126,6.510325,62
-119.904068,-23.980814,911.270935,211.111115,-353.333344,-390.000000,-2.660133,-0.350018,2.730137,63
-23.980814,0.000000,911.270935,208.888885,-357.777771,-387.500000,-1.890095,-0.630032,-0.700035,64
-23.980814,11.990407,923.261353,213.333328,-357.777771,-392.500000,-1.120056,0.140007,-0.980049,65
-71.942444,23.980814,887.290100,211.111115,-357.777771,-392.500000,-0.490025,0.280014,-0.700035,66
-35.971222,0.000000,935.251770,213.333328,-353.333344,-395.000000,-0.840042,0.070004,-1.050053,67
0.000000,23.980814,887.290100,211.111115,-364.444458,-387.500000,-1.050053,-0.280014,-0.770038,68
-35.971222,11.990407,911.270935,211.111115,-355.555542,-392.500000,-0.770038,0.000000,-0.840042,69
-95.923256,-23.980814,911.270935,208.888885,-362.222229,-387.500000,-0.840042,-0.280014,-1.470073,70
-59.952034,23.980814,863.309326,213.333328,-353.333344,-392.500000,-1.050053,-0.490025,-1.050053,71
-71.942444,23.980814,911.270935,211.111115,-357.777771,-387.500000,-0.840042,0.140007,-1.330067,72
-71.942444,35.971222,887.290100,213.333328,-355.555542,-392.500000,-0.910046,0.000000,-0.910046,73
-47.961628,23.980814,887.290100,215.555557,-357.777771,-390.000000,-0.910046,0.000000,-0.980049,74
-71.942444,11.990407,887.290100,211.111115,-353.333344,-397.500000,-1.400070,0.070004,-0.980049,75
-71.942444,0.000000,887.290100,213.333328,-362.222229,-387.500000,-1.400070,-0.140007,-0.910046,76
-59.952034,11.990407,887.290100,215.555557,-348.888885,-395.000000,-1.330067,-0.210010,-0.070004,77
0.000000,-23.980814,911.270935,211.111115,-362.222229,-390.000000,-1.120056,0.000000,-0.840042,78
-23.980814,0.000000,875.299744,211.111115,-355.555542,-395.000000,-1.330067,-0.420021,-0.420021,79
-23.980814,23.980814,887.290100,208.888885,-362.222229,-390.000000,-1.260063,-0.700035,0.420021,80
-35.971222,-23.980814,911.270935,213.333328,-353.333344,-395.000000,-0.980049,-0.420021,0.210010,81
-71.942444,23.980814,911.270935,208.888885,-355.555542,-392.500000,-0.840042,-0.070004,0.000000,82
-47.961628,0.000000,911.270935,211.111115,-353.333344,-390.000000,-1.610080,-0.420021,-0.420021,83
-23.980814,0.000000,911.270935,208.888885,-357.777771,-392.500000,-1.260063,-0.280014,0.070004,84
-23.980814,-11.990407,911.270935,213.333328,-355.555542,-397.500000,-1.260063,-0.490025,-0.210010,85
-47.961628,23.980814,887.290100,206.666672,-362.222229,-392.500000,-1.330067,-0.350018,-0.350018,86
-35.971222,11.990407,899.280518,213.333328,-355.555542,-392.500000,-0.980049,-0.210010,-0.910046,87
-23.980814,71.942444,887.290100,211.111115,-362.222229,-385.000000,-1.190060,-0.630032,-0.980049,88
-59.952034,23.980814,875.299744,213.333328,-353.333344,-392.500000,-1.050053,-0.630032,-1.190060,89
-23.980814,47.961628,935.251770,208.888885,-362.222229,-387.500000,-1.050053,-0.630032,-0.420021,90
-35.971222,35.971222,923.261353,211.111115,-355.555542,-390.000000,-1.050053,-0.490025,-0.140007,91
-47.961628,0.000000,911.270935,213.333328,-362.222229,-387.500000,-0.700035,0.280014,-0.980049,92
-59.952034,0.000000,911.270935,215.555557,-351.111115,-395.000000,-1.120056,-0.350018,-0.210010,93
